date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/15/2021,ARKK,"TESLA INC",TSLA,88160R101,3770631.00,2615799843.63,10.71
3/15/2021,ARKK,"SQUARE INC - A",SQ,852234103,6551286.00,1586131853.46,6.49
3/15/2021,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,7212655.00,1427745057.25,5.84
3/15/2021,ARKK,"ROKU INC",ROKU,77543R102,3807888.00,1370687364.48,5.61
3/15/2021,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,5690802.00,857660769.42,3.51
3/15/2021,ARKK,"BAIDU INC - SPON ADR",BIDU,056752108,3120911.00,824700731.75,3.38
3/15/2021,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,2727059.00,763276543.51,3.12
3/15/2021,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,5648792.00,737788723.12,3.02
3/15/2021,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,647055.00,738050344.65,3.02
3/15/2021,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,2045574.00,708566377.86,2.90
3/15/2021,ARKK,"INVITAE CORP",NVTA,46185L103,16243844.00,693612138.80,2.84
3/15/2021,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,4850730.00,623124775.80,2.55
3/15/2021,ARKK,"UNITY SOFTWARE INC",U,91332U101,5103245.00,539412996.50,2.21
3/15/2021,ARKK,"TWILIO INC - A",TWLO,90138F102,1456941.00,537654937.23,2.20
3/15/2021,ARKK,"DOCUSIGN INC",DOCU,256163106,2211681.00,465204981.54,1.90
3/15/2021,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,19839002.00,444393644.80,1.82
3/15/2021,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,2936348.00,415199607.20,1.70
3/15/2021,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,11731146.00,406953454.74,1.67
3/15/2021,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6008215.00,393658246.80,1.61
3/15/2021,ARKK,"PROTO LABS INC",PRLB,743713109,2893478.00,390330182.20,1.60
3/15/2021,ARKK,"KE HOLDINGS INC",BEKE,482497104,6314374.00,372295491.04,1.52
3/15/2021,ARKK,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,4284117.00,353739540.69,1.45
3/15/2021,ARKK,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,4820758.00,333596453.60,1.37
3/15/2021,ARKK,"10X GENOMICS INC-CLASS A",TXG,88025U109,2051140.00,328223422.80,1.34
3/15/2021,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,7667986.00,317914699.56,1.30
3/15/2021,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,2715226.00,313119862.32,1.28
3/15/2021,ARKK,"PAYPAL HOLDINGS INC",PYPL,70450Y103,1196811.00,299621633.85,1.23
3/15/2021,ARKK,"PAGERDUTY INC",PD,69553P100,7027865.00,296857017.60,1.22
3/15/2021,ARKK,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,10838259.00,291765932.28,1.19
3/15/2021,ARKK,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,291100051.05,291100051.05,1.19
3/15/2021,ARKK,"2U INC",TWOU,90214J101,7495643.00,288807124.79,1.18
3/15/2021,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,6193268.00,286624443.04,1.17
3/15/2021,ARKK,"SEA LTD-ADR",SE,81141R100,1197211.00,281332612.89,1.15
3/15/2021,ARKK,"PACCAR INC",PCAR,693718108,2781855.00,269700842.25,1.10
3/15/2021,ARKK,"LENDINGTREE INC","TREE UW",52603B107,1089808.00,257565222.72,1.05
3/15/2021,ARKK,"TWITTER INC",TWTR,90184L102,3725357.00,253696811.70,1.04
3/15/2021,ARKK,"VERACYTE INC",VCYT,92337F107,4505095.00,236427385.60,0.97
3/15/2021,ARKK,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,2792761.00,234954982.93,0.96
3/15/2021,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,6752954.00,228857611.06,0.94
3/15/2021,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,5367003.00,229224698.13,0.94
3/15/2021,ARKK,"BEAM THERAPEUTICS INC",BEAM,07373V105,2317204.00,228059217.68,0.93
3/15/2021,ARKK,"SYNOPSYS INC",SNPS,871607107,951311.00,218278308.95,0.89
3/15/2021,ARKK,"REGENERON PHARMACEUTICALS",REGN,75886F107,433023.00,204153023.58,0.84
3/15/2021,ARKK,"FATE THERAPEUTICS INC",FATE,31189P102,2103428.00,197701197.72,0.81
3/15/2021,ARKK,"STRATASYS LTD",SSYS,M85548101,6025076.00,170750653.84,0.70
3/15/2021,ARKK,"HUYA INC-ADR",HUYA,44852D108,6401525.00,168680183.75,0.69
3/15/2021,ARKK,"TERADYNE INC",TER,880770102,1431225.00,161485116.75,0.66
3/15/2021,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,7479470.00,159836273.90,0.65
3/15/2021,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,1933546.00,127033972.20,0.52
3/15/2021,ARKK,"DRAFTKINGS INC - CL A",DKNG,26142R104,1772547.00,127180247.25,0.52
3/15/2021,ARKK,"BERKELEY LIGHTS INC",BLI,084310101,2139239.00,116032323.36,0.47
3/15/2021,ARKK,"CERUS CORP",CERS,157085101,17738630.00,113349845.70,0.46
3/15/2021,ARKK,"COMPUGEN LTD",CGEN,M25722105,9332660.00,83060674.00,0.34
3/15/2021,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,4705077.00,42251591.46,0.17
3/15/2021,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,57136.00,6759188.80,0.03
3/15/2021,ARKK,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,123609.00,1451169.66,0.01
