date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/15/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,3559475.00,704598076.25,7.18
3/15/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,14598852.00,494755094.28,5.04
3/15/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,3702418.00,475612616.28,4.85
3/15/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,944664.00,445371289.44,4.54
3/15/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,3096657.00,437867299.80,4.46
3/15/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,1831861.00,392622768.13,4.00
3/15/2021,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,4576755.00,385042398.15,3.92
3/15/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,19653102.00,362403200.88,3.69
3/15/2021,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,8725535.00,358008701.05,3.65
3/15/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,3795773.00,356764704.27,3.63
3/15/2021,ARKG,"CAREDX INC",CDNA,14167L103,4486022.00,302985925.88,3.09
3/15/2021,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,7698864.00,267073592.16,2.72
3/15/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,1993800.00,260410218.00,2.65
3/15/2021,ARKG,"INCYTE CORP",INCY,45337C102,3005967.00,237501452.67,2.42
3/15/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,5125985.00,235846569.85,2.40
3/15/2021,ARKG,"INVITAE CORP",NVTA,46185L103,5340917.00,228057155.90,2.32
3/15/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,843463.00,217419457.51,2.21
3/15/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,3920936.00,207770398.64,2.12
3/15/2021,ARKG,"SCHRODINGER INC",SDGR,80810D103,2387851.00,193105510.37,1.97
3/15/2021,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,1169464.00,187137629.28,1.91
3/15/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,1801677.00,177321050.34,1.81
3/15/2021,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,7527197.00,168609212.80,1.72
3/15/2021,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3400755.00,168269357.40,1.71
3/15/2021,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,2612272.00,167681739.68,1.71
3/15/2021,ARKG,"SAREPTA THERAPEUTICS INC",SRPT,803607100,1871142.00,161797648.74,1.65
3/15/2021,ARKG,"PERSONALIS INC",PSNL,71535D106,5824440.00,157376368.80,1.60
3/15/2021,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,2789103.00,151280946.72,1.54
3/15/2021,ARKG,"BRISTOL-MYERS SQUIBB CO",BMY,110122108,2246293.00,136215207.52,1.39
3/15/2021,ARKG,"CODEXIS INC",CDXS,192005106,6082647.00,127857239.94,1.30
3/15/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,1882857.00,123364790.64,1.26
3/15/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,2781039.00,115385308.11,1.18
3/15/2021,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,241086.00,108606832.14,1.11
3/15/2021,ARKG,"PHREESIA INC",PHR,71944F106,1722170.00,105930676.70,1.08
3/15/2021,ARKG,"CELLECTIS - ADR",CLLS,15117K103,5216333.00,104065843.35,1.06
3/15/2021,ARKG,"GUARDANT HEALTH INC",GH,40131M109,707270.00,101111319.20,1.03
3/15/2021,ARKG,"VERACYTE INC",VCYT,92337F107,1762243.00,92482512.64,0.94
3/15/2021,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,1333967.00,87641631.90,0.89
3/15/2021,ARKG,"BUTTERFLY NETWORK INC",BFLY,124155102,4096463.00,77423150.70,0.79
3/15/2021,ARKG,"CM LIFE SCIENCES INC-CLASS A",CMLF,18978W109,4255855.00,73498615.85,0.75
3/15/2021,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,1565880.00,72468926.40,0.74
3/15/2021,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3070303.00,65612375.11,0.67
3/15/2021,ARKG,"ABBVIE INC",ABBV,00287Y109,556484.00,60222698.48,0.61
3/15/2021,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,7448539.00,55938527.89,0.57
3/15/2021,ARKG,"908 DEVICES INC",MASS,65443P102,975384.00,52953597.36,0.54
3/15/2021,ARKG,"1LIFE HEALTHCARE INC",ONEM,68269G107,1104708.00,47712338.52,0.49
3/15/2021,ARKG,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,1571667.00,47417193.39,0.48
3/15/2021,ARKG,"CERUS CORP",CERS,157085101,7046657.00,45028138.23,0.46
3/15/2021,ARKG,"COMPUGEN LTD",CGEN,M25722105,4944056.00,44002098.40,0.45
3/15/2021,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,1359119.00,37715552.25,0.38
3/15/2021,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,3912623.00,36113510.29,0.37
3/15/2021,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,2730161.00,24516845.78,0.25
3/15/2021,ARKG,"SEER INC",SEER,81578P106,463134.00,23629096.68,0.24
3/15/2021,ARKG,"EVOGENE LTD",EVGN,M4119S104,3960681.00,22140206.79,0.23
3/15/2021,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,3116458.00,16922366.94,0.17
3/15/2021,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,323356.00,3796199.44,0.04
3/15/2021,ARKG,"ALPHABET INC-CL A",GOOGL,02079K305,810.00,1660500.00,0.02
3/15/2021,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,1808986.44,1808986.44,0.02
