date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/15/2021,ARKW,"TESLA INC",TSLA,88160R101,1143671.00,793398882.83,10.68
3/15/2021,ARKW,"SQUARE INC - A",SQ,852234103,1687153.00,408476612.83,5.50
3/15/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,8029127.00,401456350.00,5.40
3/15/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,1520686.00,301019793.70,4.05
3/15/2021,ARKW,"ROKU INC",ROKU,77543R102,805261.00,289861749.56,3.90
3/15/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,918169.00,256986321.41,3.46
3/15/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,223119.00,254496224.97,3.42
3/15/2021,ARKW,"TWITTER INC",TWTR,90184L102,3061887.00,208514504.70,2.81
3/15/2021,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,6292130.00,170202116.50,2.29
3/15/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,483430.00,167455317.70,2.25
3/15/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,1095709.00,165134303.39,2.22
3/15/2021,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,655886.00,164201060.10,2.21
3/15/2021,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1404790.00,162000382.80,2.18
3/15/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,402687.00,148603583.61,2.00
3/15/2021,ARKW,"NETFLIX INC",NFLX,64110L106,276293.00,143125299.86,1.93
3/15/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,5233660.00,140890127.20,1.90
3/15/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,1301781.00,137598251.70,1.85
3/15/2021,ARKW,"JD.COM INC-ADR",JD,47215P106,1594170.00,133942163.40,1.80
3/15/2021,ARKW,"SEA LTD-ADR",SE,81141R100,566354.00,133087526.46,1.79
3/15/2021,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1533428.00,126615149.96,1.70
3/15/2021,ARKW,"AGORA INC-ADR",API,00851L103,1933025.00,126400504.75,1.70
3/15/2021,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,160274.00,120401034.28,1.62
3/15/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,3785602.00,110993850.64,1.49
3/15/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,524045.00,110227625.30,1.48
3/15/2021,ARKW,"BAIDU INC - SPON ADR",BIDU,056752108,412500.00,109003125.00,1.47
3/15/2021,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1444285.00,108552460.60,1.46
3/15/2021,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4858736.00,108835686.40,1.46
3/15/2021,ARKW,"KE HOLDINGS INC",BEKE,482497104,1796329.00,105911557.84,1.43
