date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/15/2021,PRNT,"EXONE CO/THE",XONE,302104104,1543707.00,56175497.73,10.09
3/15/2021,PRNT,"HP INC",HPQ,40434L105,955682.00,28938050.96,5.20
3/15/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,865743.00,26959237.02,4.84
3/15/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,21010.00,25064958.28,4.50
3/15/2021,PRNT,"RENISHAW PLC",RSW,0732358,303973.00,25001888.28,4.49
3/15/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,105875.00,24960031.25,4.48
3/15/2021,PRNT,"PTC INC",PTC,69370C100,183371.00,24239812.49,4.35
3/15/2021,PRNT,"TRIMBLE INC",TRMB,896239100,326157.00,24093217.59,4.33
3/15/2021,PRNT,"DASSAULT SYSTEMES SE",DSY,5330047,115400.00,23900755.96,4.29
3/15/2021,PRNT,"MGI DIGITAL GRAPHIC TECHNOLO",ALMDG,B18FJV7,400194.00,23168572.04,4.16
3/15/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,375103.00,22742494.89,4.08
3/15/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,1031963.00,21206579.20,3.81
3/15/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,746542.00,21157000.28,3.80
3/15/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,999432.00,20428390.08,3.67
3/15/2021,PRNT,"ANSYS INC",ANSS,03662Q105,61729.00,19560685.52,3.51
3/15/2021,PRNT,"AUTODESK INC",ADSK,052769106,72765.00,19509024.15,3.50
3/15/2021,PRNT,"PROTO LABS INC",PRLB,743713109,134385.00,18128536.50,3.26
3/15/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,344958.00,14733156.18,2.65
3/15/2021,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,88896.00,8426451.84,1.51
3/15/2021,PRNT,"AMETEK INC",AME,031100100,54647.00,6643435.79,1.19
3/15/2021,PRNT,"HEXAGON AB-B SHS",HEXAB,B1XFTL2,73765.00,6645566.08,1.19
3/15/2021,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,11849.00,6356277.56,1.14
3/15/2021,PRNT,"ULTRA CLEAN HOLDINGS INC",UCTT,90385V107,116035.00,5903860.80,1.06
3/15/2021,PRNT,"KAISER ALUMINUM CORP",KALU,483007704,44644.00,5601036.24,1.01
3/15/2021,PRNT,"MICHELIN (CGDE)",ML,4588364,34973.00,5264649.23,0.95
3/15/2021,PRNT,"OC OERLIKON CORP AG-REG",OERL,4612757,448367.00,5213850.44,0.94
3/15/2021,PRNT,"BERTRANDT AG",BDT,5130861,87826.00,5189594.03,0.93
3/15/2021,PRNT,"SIEMENS AG-REG",SIE,5727973,31892.00,5164396.74,0.93
3/15/2021,PRNT,"NUVASIVE INC",NUVA,670704105,78867.00,5137396.38,0.92
3/15/2021,PRNT,"GENERAL ELECTRIC CO",GE,369604103,404968.00,5094497.44,0.91
3/15/2021,PRNT,"MOOG INC-CLASS A",MOG/A,615394202,56905.00,4930818.25,0.89
3/15/2021,PRNT,"LINCOLN ELECTRIC HOLDINGS",LECO,533900106,38366.00,4739735.64,0.85
3/15/2021,PRNT,"UNITED PARCEL SERVICE-CL B",UPS,911312106,27884.00,4675867.96,0.84
3/15/2021,PRNT,"MEDTRONIC PLC","MDT UN",G5960L103,38599.00,4585947.19,0.82
3/15/2021,PRNT,"ARCONIC CORP",ARNC,03966V107,151436.00,4535508.20,0.81
3/15/2021,PRNT,"STRYKER CORP",SYK,863667101,18562.00,4468987.12,0.80
3/15/2021,PRNT,"AEROJET ROCKETDYNE HOLDINGS",AJRD,007800105,87313.00,4117681.08,0.74
3/15/2021,PRNT,"PYROGENESIS CANADA INC",PYR,B43JTF9,204800.00,1776871.14,0.32
3/15/2021,PRNT,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,1247635.12,1247635.12,0.22
3/15/2021,PRNT,"SGL CARBON SE",SGL,4818351,109104.00,887427.57,0.16
3/15/2021,PRNT,"CARPENTER TECHNOLOGY",CRS,144285103,17670.00,826425.90,0.15
3/15/2021,PRNT,"HEXCEL CORP",HXL,428291108,12909.00,766407.33,0.14
3/15/2021,PRNT,"ALLEGHENY TECHNOLOGIES INC",ATI,01741R102,34341.00,763400.43,0.14
3/15/2021,PRNT,"XEROX HOLDINGS CORP","XRX UN",98421M106,27451.00,738706.41,0.13
3/15/2021,PRNT,"VOESTALPINE AG",VOE,4943402,16847.00,708927.37,0.13
3/15/2021,PRNT,"EASTMAN KODAK CO",KODK,277461406,70878.00,692478.06,0.12
