date,fund,company,ticker,cusip,shares,market value($),weight(%)
4/9/2021,ARKF,SQUARE INC - A,SQ,852234103,1876569.00,484849132.53,11.04
4/9/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1347612.00,211575084.00,4.82
4/9/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1411125.00,207026148.75,4.72
4/9/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,767366.00,202968307.00,4.62
4/9/2021,ARKF,SEA LTD-ADR,SE,81141R100,773568.00,195797796.48,4.46
4/9/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2124138.00,182633385.24,4.16
4/9/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,149406.00,182677222.14,4.16
4/9/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1309787.00,151987683.48,3.46
4/9/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58305.00,138507195.79,3.15
4/9/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1643323.00,132172468.89,3.01
4/9/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,79428.00,126131664.00,2.87
4/9/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,19227238.00,121899516.90,2.78
4/9/2021,ARKF,SNAP INC - A,SNAP,83304A106,1898801.00,120004223.20,2.73
4/9/2021,ARKF,YEAHKA LTD,9923,BL58D39,14251200.00,110053183.47,2.51
4/9/2021,ARKF,TWILIO INC - A,TWLO,90138F102,297291.00,109126607.37,2.49
4/9/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,449122.00,102507605.28,2.33
4/9/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4839946.00,97766909.20,2.23
4/9/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,310465.00,97181754.30,2.21
4/9/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2315382.00,95520189.50,2.18
4/9/2021,ARKF,DOCUSIGN INC,DOCU,256163106,402717.00,85488764.76,1.95
4/9/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,329138.00,84601631.52,1.93
4/9/2021,ARKF,INTUIT INC,INTU,461202103,201046.00,82694240.72,1.88
4/9/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1354366.00,80368078.44,1.83
4/9/2021,ARKF,JD.COM INC-ADR,JD,47215P106,961840.00,79005537.60,1.80
4/9/2021,ARKF,APPLE INC,AAPL,037833100,600757.00,78314682.52,1.78
4/9/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14514030.00,73164361.47,1.67
4/9/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,494259.00,69295111.80,1.58
4/9/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,4056600.00,52793549.47,1.20
4/9/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,285037.00,51965095.47,1.18
4/9/2021,ARKF,DISCOVERY LTD,DSY,6177878,5513118.00,51426038.31,1.17
4/9/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,809731.00,49482661.41,1.13
4/9/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,716789.00,47910176.76,1.09
4/9/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,853880.00,47928284.40,1.09
4/9/2021,ARKF,NVIDIA CORP,NVDA,67066G104,79700.00,45642596.00,1.04
4/9/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,2763096.00,44430583.68,1.01
4/9/2021,ARKF,BASE INC,4477,BKRQ8Q2,2833400.00,44456163.94,1.01
4/9/2021,ARKF,AMAZON.COM INC,AMZN,023135106,13440.00,44342592.00,1.01
4/9/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,411654.00,42779083.68,0.97
4/9/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,550182.00,40867518.96,0.93
4/9/2021,ARKF,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,29376793.09,29376793.09,0.67
4/9/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,170305.00,26880941.20,0.61
4/9/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,98073.00,22135076.10,0.50
4/9/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33393.00,17747711.64,0.40
4/9/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,153604.00,11981112.00,0.27
4/9/2021,ARKF,SPLUNK INC,SPLK,848637104,6369.00,891532.62,0.02
4/9/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8824.00,637128.90,0.01
4/9/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,2598.00,470783.58,0.01
