FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-04-12,Buy,NNDM,63008G203,NANO DIMENSION LTD,463128,0.0996
ARKQ,2021-04-12,Buy,DDD,88554D205,3D SYSTEMS CORP,263667,0.1726
ARKQ,2021-04-12,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,138012,0.1663
ARKQ,2021-04-12,Buy,JD,47215P106,JD.COM INC,33700,0.0779
ARKQ,2021-04-12,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,318086,0.102
ARKQ,2021-04-12,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,139227,0.1093
ARKQ,2021-04-12,Sell,TER,880770102,TERADYNE INC,53065,0.2033
ARKQ,2021-04-12,Sell,SNPS,871607107,SYNOPSYS INC,34418,0.2612
ARKQ,2021-04-12,Sell,AVAV,008073108,AEROVIRONMENT INC,11566,0.0387
ARKQ,2021-04-12,Sell,DE,244199105,DEERE & CO,7260,0.0806
ARKQ,2021-04-12,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,7986,0.0282
