date,fund,company,ticker,cusip,shares,market value($),weight(%)
4/19/2021,ARKX,TRIMBLE INC,TRMB,896239100,756094.00,61977025.18,8.95
4/19/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,1069978.00,41643543.76,6.02
4/19/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1440772.00,39405114.20,5.69
4/19/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,166841.00,35156735.52,5.08
4/19/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,782983.00,31953536.23,4.62
4/19/2021,ARKX,KOMATSU LTD,6301,6496584,993188.00,30775225.19,4.45
4/19/2021,ARKX,JD.COM INC-ADR,JD,47215P106,399206.00,30754830.24,4.44
4/19/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,77285.00,30281035.85,4.37
4/19/2021,ARKX,THALES SA,HO,4162791,268222.00,27657119.79,4.00
4/19/2021,ARKX,NVIDIA CORP,NVDA,67066G104,43078.00,27419147.00,3.96
4/19/2021,ARKX,BOEING CO/THE,BA,097023105,96018.00,23829747.24,3.44
4/19/2021,ARKX,AMAZON.COM INC,AMZN,023135106,6612.00,22477097.28,3.25
4/19/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,9254.00,21263471.04,3.07
4/19/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,449550.00,20908570.50,3.02
4/19/2021,ARKX,DASSAULT SYSTEMES SE,DSY,5330047,79732.00,18289390.86,2.64
4/19/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,42417.00,18207497.25,2.63
4/19/2021,ARKX,TERADYNE INC,TER,880770102,140272.00,18162418.56,2.62
4/19/2021,ARKX,DEERE & CO,DE,244199105,36823.00,14105786.61,2.04
4/19/2021,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,585675.00,13681368.00,1.98
4/19/2021,ARKX,RAVEN INDUSTRIES INC,RAVN,754212108,335661.00,13366021.02,1.93
4/19/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,91317.00,12839170.20,1.85
4/19/2021,ARKX,AIRBUS SE,AIR,4012250,94889.00,11787509.91,1.70
4/19/2021,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,47008.00,11220339.52,1.62
4/19/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,70813.00,10125550.87,1.46
4/19/2021,ARKX,NETFLIX INC,NFLX,64110L106,16626.00,9086774.04,1.31
4/19/2021,ARKX,WORKHORSE GROUP INC,WKHS,98138J206,662724.00,8767838.52,1.27
4/19/2021,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,G7483N129,850310.00,8562621.70,1.24
4/19/2021,ARKX,HEICO CORP,HEI,422806109,61556.00,8338375.76,1.20
4/19/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,34482.00,8003617.02,1.16
4/19/2021,ARKX,ANSYS INC,ANSS,03662Q105,19837.00,7417649.41,1.07
4/19/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,67127.00,7276566.80,1.05
4/19/2021,ARKX,MEITUAN-CLASS B,3690,BGJW376,191454.00,7150204.73,1.03
4/19/2021,ARKX,SYNOPSYS INC,SNPS,871607107,27209.00,7095290.93,1.02
4/19/2021,ARKX,XILINX INC,XLNX,983919101,54282.00,6982836.48,1.01
4/19/2021,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,83502.00,6763662.00,0.98
4/19/2021,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,635876.00,6587675.36,0.95
4/19/2021,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,646376.00,6412049.92,0.93
4/19/2021,ARKX,AUTODESK INC,ADSK,052769106,19935.00,5983689.60,0.86
4/19/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,509786.31,509786.31,0.07
