FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-05-06,Buy,TWTR,90184L102,TWITTER INC,593800,0.5352
ARKW,2021-05-06,Buy,TWLO,90138F102,TWILIO INC,142274,0.7336
ARKW,2021-05-06,Buy,SKLZ,83067L109,SKILLZ INC,83896,0.0217
ARKW,2021-05-06,Buy,NET,18915M107,CLOUDFLARE INC,164443,0.1986
ARKW,2021-05-06,Buy,NNDM,63008G203,NANO DIMENSION LTD,1480800,0.1616
ARKW,2021-05-06,Buy,OKTA,679295105,OKTA INC,93565,0.3701
ARKW,2021-05-06,Buy,SE,81141R100,SEA LTD,50399,0.2019
ARKW,2021-05-06,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,289535,0.4085
ARKW,2021-05-06,Sell,PINS,72352L106,PINTEREST INC,995592,0.978
ARKW,2021-05-06,Sell,FSLY,31188V100,FASTLY INC,1464856,1.105
ARKW,2021-05-06,Sell,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,185637,0.5747
ARKW,2021-05-06,Sell,ADYEY,00783V104,ADYEN NV,31000,0.0238
