FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,2021-05-07,Buy,COIN,19260Q107,COINBASE GLOBAL INC,26000,0.1767
ARKF,2021-05-07,Buy,JD,47215P106,JD.COM INC,366879,0.7249
ARKF,2021-05-07,Sell,9923HK,G9835C108,YEAHKA LTD,574000,0.1119
ARKF,2021-05-07,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,176959,0.4394
ARKG,2021-05-07,Buy,VCYT,92337F107,VERACYTE INC,30590,0.0161
ARKG,2021-05-07,Buy,MASS,65443P102,908 DEVICES INC,15890,0.0095
ARKG,2021-05-07,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,333215,0.1467
ARKG,2021-05-07,Buy,FATE,31189P102,FATE THERAPEUTICS INC,47898,0.0432
ARKG,2021-05-07,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,14914,0.0023
ARKG,2021-05-07,Buy,CDNA,14167L103,CAREDX INC,800,0.0007
ARKG,2021-05-07,Sell,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,160100,0.0317
ARKG,2021-05-07,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,109554,0.0069
ARKG,2021-05-07,Sell,RHHBY,771195104,ROCHE HOLDING AG,100000,0.0493
ARKG,2021-05-07,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,83477,0.0653
ARKK,2021-05-07,Buy,U,91332U101,UNITY SOFTWARE INC,362619,0.1599
ARKK,2021-05-07,Buy,DKNG,26142R104,DRAFTKINGS INC,358860,0.0907
ARKK,2021-05-07,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,53150,0.0096
ARKK,2021-05-07,Buy,SKLZ,83067L109,SKILLZ INC,1114735,0.0863
ARKK,2021-05-07,Sell,TREE,52603B107,LENDINGTREE INC,42713,0.0393
ARKK,2021-05-07,Sell,PSTG,74624M102,PURE STORAGE INC,503700,0.0457
ARKK,2021-05-07,Sell,NVS,66987V109,NOVARTIS AG,205923,0.0877
ARKK,2021-05-07,Sell,NTDOY,654445303,NINTENDO CO LTD,128581,0.043
ARKK,2021-05-07,Sell,BIDU,056752108,BAIDU INC,204671,0.1921
ARKQ,2021-05-07,Buy,AONE,G7000X105,ONE,15841,0.0052
ARKQ,2021-05-07,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,66394,0.0834
ARKQ,2021-05-07,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,95418,0.0842
ARKQ,2021-05-07,Buy,TER,880770102,TERADYNE INC,81331,0.3394
ARKQ,2021-05-07,Sell,WKHS,98138J206,WORKHORSE GROUP INC,898254,0.2841
ARKQ,2021-05-07,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,594209,0.3777
ARKW,2021-05-07,Buy,NNDM,63008G203,NANO DIMENSION LTD,340948,0.0381
ARKW,2021-05-07,Buy,OKTA,679295105,OKTA INC,54063,0.2216
ARKW,2021-05-07,Buy,TWTR,90184L102,TWITTER INC,145914,0.1338
ARKW,2021-05-07,Sell,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,120016,0.391
ARKW,2021-05-07,Sell,PINS,72352L106,PINTEREST INC,41467,0.0418
ARKX,2021-05-07,Buy,3690HK,G59669104,MEITUAN,44400,0.2524
ARKX,2021-05-07,Buy,PRNT,00214Q500,THE 3D PRINTING ETF,17160,0.0986
ARKX,2021-05-07,Sell,DE,244199105,DEERE & CO,3300,0.1992
