FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,05/25/2021,Buy,4689JP,J9894K105,Z HOLDINGS CORP,1076800,0.1345
ARKF,05/25/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,4918,0.0111
ARKF,05/25/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,121537,0.1653
ARKF,05/25/2021,Sell,9923HK,G9835C108,YEAHKA LTD,322000,0.0594
ARKF,05/25/2021,Sell,GWRE,40171V100,GUIDEWIRE SOFTWARE INC,302,0.0008
ARKF,05/25/2021,Sell,6060HK,Y989DF109,ZHONGAN ONLINE P&C INSURANCE CO LTD,864400,0.1331
ARKF,05/25/2021,Sell,SCHW,808513105,CHARLES SCHWAB CORP/THE,109981,0.2228
ARKG,05/25/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,8755,0.0036
ARKG,05/25/2021,Buy,MASS,65443P102,908 DEVICES INC,4237,0.002
ARKG,05/25/2021,Buy,DRNA,253031108,DICERNA PHARMACEUTICALS INC,98069,0.0371
ARKG,05/25/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,100,0
ARKG,05/25/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,100,0
ARKG,05/25/2021,Buy,CDXS,192005106,CODEXIS INC,36907,0.0091
ARKG,05/25/2021,Sell,GH,40131M109,GUARDANT HEALTH INC,25525,0.0402
ARKG,05/25/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,24006,0.0012
ARKK,05/25/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,26572,0.0007
ARKK,05/25/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,923,0
ARKK,05/25/2021,Sell,HUYA,44852D108,HUYA INC,408360,0.0295
ARKQ,05/25/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,11325,0.0039
ARKQ,05/25/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,62475,0.0815
ARKQ,05/25/2021,Buy,AONE,G7000X105,ONE,15035,0.0052
ARKQ,05/25/2021,Buy,ACIC,49284102,ATLAS CREST INVESTMENT CORP,129475,0.0448
ARKQ,05/25/2021,Sell,AVAV,8073108,AEROVIRONMENT INC,18540,0.0697
ARKQ,05/25/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,14065,0.0049
ARKQ,05/25/2021,Sell,ADSK,52769106,AUTODESK INC,1500,0.0151
ARKQ,05/25/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,20,0
ARKW,05/25/2021,Buy,VUZI,92921W300,VUZIX CORP,144030,0.0444
ARKW,05/25/2021,Buy,TWTR,90184L102,TWITTER INC,245260,0.2538
ARKW,05/25/2021,Buy,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,181995,0.1059
ARKW,05/25/2021,Sell,HUBS,443573100,HUBSPOT INC,2,0
ARKW,05/25/2021,Sell,JD,47215P106,JD.COM INC,456987,0.6082
ARKW,05/25/2021,Sell,PDD,722304102,PINDUODUO INC,96600,0.2339
ARKW,05/25/2021,Sell,API,00851L103,AGORA INC,6,0
ARKX,05/25/2021,Buy,U,91332U101,UNITY SOFTWARE INC,48800,0.7525
ARKX,05/25/2021,Buy,BLDE,92667104,BLADE AIR MOBILITY INC,34900,0.0484
ARKX,05/25/2021,Sell,GRMN,H2906T109,GARMIN LTD,15973,0.363
ARKX,05/25/2021,Sell,JD,47215P106,JD.COM INC,273688,3.2115
ARKX,05/25/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,19161,0.136
ARKX,05/25/2021,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,12,0
ARKX,05/25/2021,Sell,ADSK,52769106,AUTODESK INC,410,0.0191
ARKX,05/25/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,10,0
