FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,2021-07-26,Buy,Z,98954M200,ZILLOW GROUP INC,160633,0.4474
ARKF,2021-07-26,Buy,TDOC,87918A105,TELADOC HEALTH INC,250353,0.9617
ARKF,2021-07-26,Buy,STNE,G85158106,STONECO LTD,208229,0.303
ARKF,2021-07-26,Buy,PATH,90364P105,UIPATH INC,92655,0.1481
ARKF,2021-07-26,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,583672,0.2106
ARKF,2021-07-26,Buy,FTCH,30744W107,FARFETCH LTD,242823,0.2971
ARKF,2021-07-26,Buy,COIN,19260Q107,COINBASE GLOBAL INC,113043,0.7144
ARKF,2021-07-26,Sell,JD,47215P106,JD.COM INC,318465,0.5409
ARKF,2021-07-26,Sell,PDD,722304102,PINDUODUO INC,116153,0.2652
ARKF,2021-07-26,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,629884,0.9705
ARKF,2021-07-26,Sell,BEKE,482497104,KE HOLDINGS INC,1282200,0.9239
ARKF,2021-07-26,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,99797,0.4922
