FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-08-19,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,44996,0.0212
ARKK,2021-08-19,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,313462,0.0528
ARKK,2021-08-19,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,149483,0.0177
ARKK,2021-08-19,Buy,NTLA,45826J105,INTELLIA THERAPEUTICS INC,24047,0.0173
ARKK,2021-08-19,Buy,VCYT,92337F107,VERACYTE INC,1179,0.0002
ARKK,2021-08-19,Buy,EDIT,28106W103,EDITAS MEDICINE INC,33416,0.0093
ARKK,2021-08-19,Buy,CRSP,H17182108,CRISPR THERAPEUTICS AG,30000,0.0168
ARKK,2021-08-19,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,10974,0.0003
ARKK,2021-08-19,Sell,DOCU,256163106,DOCUSIGN INC,51743,0.0705
ARKK,2021-08-19,Sell,SQ,852234103,SQUARE INC,41400,0.0506
ARKK,2021-08-19,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,47361,0.0114
