,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-09-08,Buy,PATH,90364P105,UIPATH INC,786506,0.2
ARKK,2021-09-08,Buy,NVTA,46185L103,INVITAE CORP,616413,0.09
ARKK,2021-09-08,Buy,FATE,31189P102,FATE THERAPEUTICS INC,74729,0.02
ARKK,2021-09-08,Buy,PD,69553P100,PAGERDUTY INC,55058,0.01
ARKK,2021-09-08,Sell,TSLA,88160R101,TESLA INC,119487,0.39
ARKQ,2021-09-08,Buy,DE,244199105,DEERE & CO,37991,0.5
ARKQ,2021-09-08,Buy,PATH,90364P105,UIPATH INC,101169,0.2
ARKQ,2021-09-08,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,357400,0.1
ARKQ,2021-09-08,Buy,KMTUY,500458401,KOMATSU LTD,96118,0.09
ARKQ,2021-09-08,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,10910,0
ARKQ,2021-09-08,Sell,TSLA,88160R101,TESLA INC,7229,0.19
ARKQ,2021-09-08,Sell,NVDA,67066G104,NVIDIA CORP,30225,0.24
ARKQ,2021-09-08,Sell,NXPI,N6596X109,NXP SEMICONDUCTORS NV,66507,0.49
ARKW,2021-09-08,Buy,ROKU,77543R102,ROKU INC,40200,0.23
ARKW,2021-09-08,Buy,PATH,90364P105,UIPATH INC,197838,0.19
ARKW,2021-09-08,Buy,SPLK,848637104,SPLUNK INC,43650,0.12
ARKW,2021-09-08,Buy,KVSB,482505104,KHOSLA VENTURES ACQUISITION CO II,117982,0.02
ARKW,2021-09-08,Sell,LC,52603A208,LENDINGCLUB CORP,127719,0.07
ARKW,2021-09-08,Sell,TSLA,88160R101,TESLA INC,15992,0.2
ARKW,2021-09-08,Sell,TTD,88339J105,TRADE DESK INC/THE,172095,0.21
ARKG,2021-09-08,Buy,PATH,90364P105,UIPATH INC,297454,0.2
ARKG,2021-09-08,Buy,FATE,31189P102,FATE THERAPEUTICS INC,55010,0.05
ARKG,2021-09-08,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,63924,0.03
ARKG,2021-09-08,Buy,SLGC,83444K105,SOMALOGIC INC,270100,0.03
ARKG,2021-09-08,Buy,VCYT,92337F107,VERACYTE INC,52802,0.03
ARKG,2021-09-08,Buy,PSNL,71535D106,PERSONALIS INC,94993,0.02
ARKG,2021-09-08,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,10357,0
ARKG,2021-09-08,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,97,0
ARKG,2021-09-08,Sell,CRBU,142038108,CARIBOU BIOSCIENCES INC,10250,0
ARKG,2021-09-08,Sell,CLLS,15117K103,CELLECTIS SA,3100,0
ARKG,2021-09-08,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,3951,0
ARKG,2021-09-08,Sell,SRPT,803607100,SAREPTA THERAPEUTICS INC,9855,0.01
ARKG,2021-09-08,Sell,DRNA,253031108,DICERNA PHARMACEUTICALS INC,113568,0.03
ARKG,2021-09-08,Sell,PSTG,74624M102,PURE STORAGE INC,144643,0.04
ARKG,2021-09-08,Sell,NVS,66987V109,NOVARTIS AG,193937,0.2
ARKF,2021-09-08,Buy,ETSY,29786A106,ETSY INC,42562,0.24
ARKF,2021-09-08,Buy,FTCH,30744W107,FARFETCH LTD,182538,0.2
ARKF,2021-09-08,Buy,STNE,G85158106,STONECO LTD,175969,0.2
ARKF,2021-09-08,Buy,Z,98954M200,ZILLOW GROUP INC,39898,0.1
ARKF,2021-09-08,Buy,JD,47215P106,JD.COM INC,32399,0.07
ARKF,2021-09-08,Buy,DSYSJ,S2192Y109,DISCOVERY LTD,165619,0.04
ARKF,2021-09-08,Sell,HDB,40415F101,HDFC BANK LTD,4542,0.01
ARKF,2021-09-08,Sell,9923HK,G9835C108,YEAHKA LTD,202400,0.02
ARKF,2021-09-08,Sell,6060HK,Y989DF109,ZHONGAN ONLINE P&C INSURANCE CO LTD,484900,0.06
ARKF,2021-09-08,Sell,4689JP,J9894K105,Z HOLDINGS CORP,2312030,0.39
ARKF,2021-09-08,Sell,MELI,58733R102,MERCADOLIBRE INC,7684,0.39
ARKF,2021-09-08,Buy,6301JP,J35759125,KOMATSU LTD,83200,0.35
ARKF,2021-09-08,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,243264,0.32
ARKF,2021-09-08,Buy,HEI,422806109,HEICO CORP,4524,0.09
ARKF,2021-09-08,Buy,BLDE,92667104,BLADE AIR MOBILITY INC,38045,0.06
ARKF,2021-09-08,Buy,AVAV,8073108,AEROVIRONMENT INC,1076,0.02
ARKF,2021-09-08,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,5845,0.05
ARKF,2021-09-08,Sell,SPR,848574109,SPIRIT AEROSYSTEMS HOLDINGS INC,13098,0.08
ARKF,2021-09-08,Sell,TRMB,896239100,TRIMBLE INC,11267,0.17
ARKF,2021-09-08,Sell,BA,97023105,BOEING CO/THE,15911,0.56
