date,fund,company,ticker,cusip,shares,market value($),weight(%)
9/17/2021,ARKQ,TESLA INC,TSLA,88160R101,441364.00,334108134.36,12.42
9/17/2021,ARKQ,TRIMBLE INC,TRMB,896239100,1996961.00,183620563.95,6.83
9/17/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,7603932.00,170784312.72,6.35
9/17/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,1240049.00,166712187.56,6.20
9/17/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,3137529.00,139306287.60,5.18
9/17/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,2459061.00,132543387.90,4.93
9/17/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3960503.00,103606758.48,3.85
9/17/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1285337.00,99189456.29,3.69
9/17/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,272750.00,93144125.00,3.46
9/17/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,2829512.00,86667952.56,3.22
9/17/2021,ARKQ,DEERE & CO,DE,244199105,237399.00,84354986.67,3.14
9/17/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,26736.00,77199397.92,2.87
9/17/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,1872703.00,70694538.25,2.63
9/17/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2480652.00,65067501.96,2.42
9/17/2021,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,7851179.00,60297054.72,2.24
9/17/2021,ARKQ,TERADYNE INC,TER,880770102,489774.00,60310770.36,2.24
9/17/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,719259.00,54886654.29,2.04
9/17/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,9059824.00,54449542.24,2.02
9/17/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,619806.00,54047083.20,2.01
9/17/2021,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,4423074.00,45911508.12,1.71
9/17/2021,ARKQ,CATERPILLAR INC,CAT,149123101,221957.00,45190445.20,1.68
9/17/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,4380844.00,43457972.48,1.62
9/17/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,120112.00,40283162.56,1.50
9/17/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,239321.00,38186058.76,1.42
9/17/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,239887.00,35100265.84,1.31
9/17/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1428034.00,33330313.56,1.24
9/17/2021,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,3235747.00,32389827.47,1.20
9/17/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,74090.00,31707556.40,1.18
9/17/2021,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1084997.00,31063464.11,1.16
9/17/2021,ARKQ,2U INC,TWOU,90214J101,838723.00,28692713.83,1.07
9/17/2021,ARKQ,ANSYS INC,ANSS,03662Q105,74796.00,28011102.00,1.04
9/17/2021,ARKQ,VUZIX CORP,VUZI,92921W300,2353602.00,27843111.66,1.04
9/17/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,130324.00,27762921.72,1.03
9/17/2021,ARKQ,PROTO LABS INC,PRLB,743713109,392749.00,27574907.29,1.03
9/17/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,25446.00,26311418.46,0.98
9/17/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1030654.00,23818413.94,0.89
9/17/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,353114.00,22592233.72,0.84
9/17/2021,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,8198870.85,8198870.85,0.30
9/17/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,137553.00,1006887.96,0.04
