date,fund,company,ticker,cusip,"market value ($)","weight (%)"
10/01/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,"$493,152,550.29",6.91%
10/01/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,"$374,327,887.65",5.25%
10/01/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"$352,404,149.30",4.94%
10/01/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,"$308,525,706.83",4.33%
10/01/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,"$283,967,248.50",3.98%
10/01/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,"$282,450,651.57",3.96%
10/01/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,"$257,437,520.20",3.61%
10/01/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,"$235,368,444.34",3.30%
10/01/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,"$219,403,720.63",3.08%
10/01/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,"$219,873,948.84",3.08%
10/01/2021,ARKG,"CAREDX INC",CDNA,14167L103,"$214,878,227.87",3.01%
10/01/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,"$210,942,169.02",2.96%
10/01/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"$203,046,616.50",2.85%
10/01/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"$199,843,389.15",2.80%
10/01/2021,ARKG,"INCYTE CORP",INCY,45337C102,"$196,535,892.46",2.76%
10/01/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,"$174,221,950.21",2.44%
10/01/2021,ARKG,"INVITAE CORP",NVTA,46185L103,"$170,605,786.01",2.39%
10/01/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,"$164,093,353.05",2.30%
10/01/2021,ARKG,"UIPATH INC - CLASS A",PATH,90364P105,"$153,565,012.52",2.15%
10/01/2021,ARKG,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,"$150,241,381.68",2.11%
10/01/2021,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,"$144,695,089.98",2.03%
10/01/2021,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,"$136,018,967.00",1.91%
10/01/2021,ARKG,"CODEXIS INC",CDXS,192005106,"$134,900,417.24",1.89%
10/01/2021,ARKG,"SCHRODINGER INC",SDGR,80810D103,"$124,127,974.40",1.74%
10/01/2021,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,"$120,069,993.28",1.68%
10/01/2021,ARKG,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,"$107,086,987.18",1.50%
10/01/2021,ARKG,"PERSONALIS INC",PSNL,71535D106,"$98,790,204.24",1.39%
10/01/2021,ARKG,"PFIZER INC",PFE,717081103,"$94,834,297.36",1.33%
10/01/2021,ARKG,"VERACYTE INC",VCYT,92337F107,"$92,043,787.15",1.29%
10/01/2021,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,"$91,301,079.32",1.28%
10/01/2021,ARKG,"908 DEVICES INC",MASS,65443P102,"$88,954,915.32",1.25%
10/01/2021,ARKG,"QUANTUM-SI INC",QSI,74765K105,"$88,756,223.22",1.24%
10/01/2021,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,"$77,398,238.72",1.09%
10/01/2021,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,"$75,424,298.88",1.06%
10/01/2021,ARKG,"BUTTERFLY NETWORK INC",BFLY,124155102,"$74,664,666.72",1.05%
10/01/2021,ARKG,"1LIFE HEALTHCARE INC",ONEM,68269G107,"$72,272,189.25",1.01%
10/01/2021,ARKG,"SEMA4 HOLDINGS CORP",SMFR,81663L101,"$70,869,674.37",0.99%
10/01/2021,ARKG,"RECURSION PHARMACEUTICALS-A",RXRX,75629V104,"$59,361,635.19",0.83%
10/01/2021,ARKG,"SOMALOGIC INC",SLGC,83444K105,"$59,541,867.21",0.83%
10/01/2021,ARKG,"VERVE THERAPEUTICS INC",VERV,92539P101,"$59,233,771.00",0.83%
10/01/2021,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,"$51,767,947.92",0.73%
10/01/2021,ARKG,"ZYMERGEN INC",ZY,98985X100,"$49,522,229.10",0.69%
10/01/2021,ARKG,"CELLECTIS - ADR",CLLS,15117K103,"$47,417,118.19",0.66%
10/01/2021,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,"$41,373,673.72",0.58%
10/01/2021,ARKG,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"$38,957,445.04",0.55%
10/01/2021,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,"$34,960,939.78",0.49%
10/01/2021,ARKG,"CERUS CORP",CERS,157085101,"$31,401,525.96",0.44%
10/01/2021,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,"$25,221,293.46",0.35%
