date,fund,company,ticker,cusip,"market value ($)","weight (%)"
10/01/2021,PRNT,"EXONE CO/THE",XONE,302104104,"$25,227,534.36",5.46%
10/01/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,"$22,919,464.83",4.96%
10/01/2021,PRNT,"BICO GROUP AB",BICO,BKMFJ94,"$19,642,199.81",4.25%
10/01/2021,PRNT,"CONFORMIS INC",CFMS,20717E101,"$19,353,689.18",4.19%
10/01/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,"$19,272,722.69",4.17%
10/01/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,"$19,113,808.14",4.14%
10/01/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,"$18,316,117.08",3.97%
10/01/2021,PRNT,"DASSAULT SYSTEMES SE","DSY FP",BM8H5Y5,"$18,326,297.42",3.97%
10/01/2021,PRNT,"TRIMBLE INC",TRMB,896239100,"$18,026,074.50",3.90%
10/01/2021,PRNT,"HP INC",HPQ,40434L105,"$17,762,549.76",3.85%
10/01/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,"$17,760,396.16",3.85%
10/01/2021,PRNT,"ANSYS INC",ANSS,03662Q105,"$17,458,616.45",3.78%
10/01/2021,PRNT,"AUTODESK INC",ADSK,052769106,"$17,338,621.17",3.76%
10/01/2021,PRNT,"RENISHAW PLC",RSW,0732358,"$17,154,394.71",3.72%
10/01/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,"$15,834,197.10",3.43%
10/01/2021,PRNT,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"$15,473,108.76",3.35%
10/01/2021,PRNT,"PTC INC",PTC,69370C100,"$15,179,429.43",3.29%
10/01/2021,PRNT,"PROTO LABS INC",PRLB,743713109,"$14,354,764.20",3.11%
10/01/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,"$14,008,072.02",3.03%
10/01/2021,PRNT,"XOMETRY INC-A",XMTR,98423F109,"$13,895,413.49",3.01%
10/01/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,"$13,277,646.32",2.88%
10/01/2021,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,"$6,320,919.57",1.37%
10/01/2021,PRNT,"HEXAGON AB-B SHS","HEXAB S",BNZFHC1,"$6,060,710.76",1.31%
10/01/2021,PRNT,"SIEMENS AG-REG",SIE,5727973,"$5,881,304.20",1.27%
10/01/2021,PRNT,"GENERAL ELECTRIC CO",GE,369604301,"$5,733,516.47",1.24%
10/01/2021,PRNT,"AMETEK INC",AME,031100100,"$5,543,867.05",1.20%
10/01/2021,PRNT,"OC OERLIKON CORP AG-REG",OERL,4612757,"$5,503,273.44",1.19%
10/01/2021,PRNT,"LINCOLN ELECTRIC HOLDINGS",LECO,533900106,"$5,404,543.56",1.17%
10/01/2021,PRNT,"MICHELIN (CGDE)",ML,4588364,"$5,378,300.01",1.17%
10/01/2021,PRNT,"MOOG INC-CLASS A",MOG/A,615394202,"$5,372,080.56",1.16%
10/01/2021,PRNT,"ARCONIC CORP",ARNC,03966V107,"$5,305,091.08",1.15%
10/01/2021,PRNT,"AEROJET ROCKETDYNE HOLDINGS",AJRD,007800105,"$5,254,351.05",1.14%
10/01/2021,PRNT,"EXCO TECHNOLOGIES LTD",XTC,2325392,"$5,255,249.68",1.14%
10/01/2021,PRNT,"KAISER ALUMINUM CORP",KALU,483007704,"$5,275,080.48",1.14%
10/01/2021,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,"$5,218,733.00",1.13%
10/01/2021,PRNT,"UNITED PARCEL SERVICE-CL B",UPS,911312106,"$4,863,162.60",1.05%
10/01/2021,PRNT,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"$638,302.88",0.14%
10/01/2021,PRNT,"HEXCEL CORP",HXL,428291108,"$541,161.68",0.12%
10/01/2021,PRNT,"TORAY INDUSTRIES INC",3402,6897143,"$532,180.46",0.12%
10/01/2021,PRNT,"KONINKLIJKE DSM NV",DSM,B0HZL93,"$558,090.76",0.12%
10/01/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,"$556,915.90",0.12%
10/01/2021,PRNT,"SGL CARBON SE",SGL,4818351,"$525,110.71",0.11%
10/01/2021,PRNT,"EVONIK INDUSTRIES AG",EVK,B5ZQ9D3,"$489,615.43",0.11%
10/01/2021,PRNT,"5N PLUS INC",VNP,B2B3VZ3,"$521,530.18",0.11%
10/01/2021,PRNT,"EASTMAN KODAK CO",KODK,277461406,"$486,397.44",0.11%
10/01/2021,PRNT,"CARPENTER TECHNOLOGY",CRS,144285103,"$454,300.24",0.10%
10/01/2021,PRNT,"DUPONT DE NEMOURS INC",DD,26614N102,"$453,969.23",0.10%
10/01/2021,PRNT,"EASTMAN CHEMICAL CO",EMN,277432100,"$471,463.20",0.10%
10/01/2021,PRNT,"VOESTALPINE AG",VOE,4943402,"$468,185.57",0.10%
10/01/2021,PRNT,"HENKEL AG & CO KGAA VOR-PREF",HEN3,5076705,"$478,962.42",0.10%
10/01/2021,PRNT,"3M CO",MMM,88579Y101,"$459,074.14",0.10%
10/01/2021,PRNT,"XEROX HOLDINGS CORP",XRX,98421M106,"$453,280.41",0.10%
10/01/2021,PRNT,"SANDVIK AB",SAND,B1VQ252,"$454,552.41",0.10%
