date,fund,company,ticker,cusip,market value($),weight(%)
10/04/2021,ARKQ,TESLA INC,TSLA,88160R101,292875790.34,11.75
10/04/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,181134835.33,7.27
10/04/2021,ARKQ,TRIMBLE INC,TRMB,896239100,179993970.80,7.22
10/04/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,163818599.04,6.57
10/04/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,148514995.92,5.96
10/04/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,117098760.00,4.70
10/04/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,93658350.91,3.76
10/04/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,92967983.40,3.73
10/04/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,88202023.38,3.54
10/04/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,87876378.24,3.53
10/04/2021,ARKQ,DEERE & CO,DE,244199105,79615225.40,3.20
10/04/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,64510724.70,2.59
10/04/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,63929952.00,2.57
10/04/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,59912605.79,2.40
10/04/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,55672396.10,2.23
10/04/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,54093565.56,2.17
10/04/2021,ARKQ,TERADYNE INC,TER,880770102,52544943.18,2.11
10/04/2021,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,50357672.46,2.02
10/04/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,50076911.40,2.01
10/04/2021,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,45514728.00,1.83
10/04/2021,ARKQ,CATERPILLAR INC,CAT,149123101,42271438.92,1.70
10/04/2021,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,40976541.86,1.64
10/04/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,35551270.04,1.43
10/04/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,34330922.85,1.38
10/04/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,31728243.84,1.27
10/04/2021,ARKQ,2U INC,TWOU,90214J101,28226621.50,1.13
10/04/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,27528361.70,1.10
10/04/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,26819670.87,1.08
10/04/2021,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,25870624.26,1.04
10/04/2021,ARKQ,PROTO LABS INC,PRLB,743713109,25700173.62,1.03
10/04/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,25175920.50,1.01
10/04/2021,ARKQ,ANSYS INC,ANSS,03662Q105,25269786.74,1.01
10/04/2021,ARKQ,VELO3D INC,VLD,92259N104,25051855.90,1.01
10/04/2021,ARKQ,VUZIX CORP,VUZI,92921W300,24219247.50,0.97
10/04/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,22443777.62,0.90
10/04/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,21376373.28,0.86
10/04/2021,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,5538333.33,0.22
10/04/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,924755.44,0.04
10/04/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,455799.07,0.02
