date,fund,company,ticker,cusip,market value($),weight(%)
10/05/2021,IZRL,MONDAY.COM LTD,MNDY,M7S64H106,5526079.28,2.18
10/05/2021,IZRL,PLASSON INDUSTRIES LTD,PLSN,6094728,4878153.09,1.93
10/05/2021,IZRL,NAYAX LTD,NYAX,BMXT7N9,4795138.87,1.90
10/05/2021,IZRL,INMODE LTD,INMD,M5425M103,4700814.15,1.86
10/05/2021,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,M4130Y106,4416476.19,1.75
10/05/2021,IZRL,KORNIT DIGITAL LTD,KRNT,M6372Q113,4321039.02,1.71
10/05/2021,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,4229419.99,1.67
10/05/2021,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,4169108.32,1.65
10/05/2021,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,6103936,4116274.17,1.63
10/05/2021,IZRL,PRIORTECH LTD,PRTC,6677776,4133176.13,1.63
10/05/2021,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,4091417.46,1.62
10/05/2021,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,4064674.31,1.61
10/05/2021,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,4073614.74,1.61
10/05/2021,IZRL,ARAD LTD,ARD,B0G7VP6,4010770.38,1.59
10/05/2021,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,4007275.92,1.58
10/05/2021,IZRL,CAMTEK LTD,CAMT,M20791105,3986136.29,1.58
10/05/2021,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,3947871.60,1.56
10/05/2021,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,3853396.82,1.52
10/05/2021,IZRL,RADWARE LTD,RDWR,M81873107,3854131.08,1.52
10/05/2021,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,3852737.78,1.52
10/05/2021,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,3808598.30,1.51
10/05/2021,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,3826095.99,1.51
10/05/2021,IZRL,NICE LTD - SPON ADR,NICE,653656108,3788100.00,1.50
10/05/2021,IZRL,HILAN LTD,HLAN,6267230,3755142.50,1.48
10/05/2021,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,3737531.66,1.48
10/05/2021,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,3718007.55,1.47
10/05/2021,IZRL,PERION NETWORK LTD,PERI,M78673114,3707565.00,1.47
10/05/2021,IZRL,NOVA LTD,NVMI,M7516K103,3672876.40,1.45
10/05/2021,IZRL,MATRIX IT LTD,MTRX,6747754,3631710.80,1.44
10/05/2021,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,3640683.60,1.44
10/05/2021,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,B85PTW0,3596703.73,1.42
10/05/2021,IZRL,AUDIOCODES LTD,AUDC,M15342104,3572907.25,1.41
10/05/2021,IZRL,MALAM - TEAM LTD,MLTM,6875923,3512421.00,1.39
10/05/2021,IZRL,POLYPID LTD,PYPD,M8001Q118,3491522.82,1.38
10/05/2021,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,3437605.57,1.36
10/05/2021,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,3416867.95,1.35
10/05/2021,IZRL,E & M COMPUTING,EMCO,6302216,3418957.24,1.35
10/05/2021,IZRL,KAMADA LTD,KMDA,B0L2CR5,3389113.93,1.34
10/05/2021,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,3259863.85,1.29
10/05/2021,IZRL,SILICOM LTD,SILC,M84116108,3240277.30,1.28
10/05/2021,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,3233796.17,1.28
10/05/2021,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,3239745.52,1.28
10/05/2021,IZRL,PURPLE BIOTECH LTD-ADR,PPBT,74638P109,3181744.88,1.26
10/05/2021,IZRL,ENTERA BIO LTD,ENTX,M40527109,3196365.12,1.26
10/05/2021,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,3200467.20,1.26
10/05/2021,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,3186094.83,1.26
10/05/2021,IZRL,WALKME LTD,WKME,M97628107,3159723.83,1.25
10/05/2021,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,3091151.58,1.22
10/05/2021,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,B536CY7,3066618.66,1.21
10/05/2021,IZRL,COLLPLANT BIOTECHNOLOGIES LT,CLGN UQ,M2R51X116,3015657.60,1.19
10/05/2021,IZRL,ABRA INFORMATION TECHNOLOGIE,ABRA,B2NB586,3016194.59,1.19
10/05/2021,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,2966898.52,1.17
10/05/2021,IZRL,ALLOT LTD,ALLT,M0854Q105,2919808.08,1.15
10/05/2021,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,2898791.72,1.15
10/05/2021,IZRL,SIMILARWEB LTD,SMWB,M84137104,2907144.87,1.15
10/05/2021,IZRL,BIOLINERX LTD-SPONS ADR,BLRX ,09071M205,2874900.60,1.14
10/05/2021,IZRL,NANO DIMENSION LTD - ADR,NNDM,63008G203,2888925.50,1.14
10/05/2021,IZRL,EVOGENE LTD,EVGN,B289530,2812245.43,1.11
10/05/2021,IZRL,STRATASYS LTD,SSYS,M85548101,2781246.39,1.10
10/05/2021,IZRL,VASCULAR BIOGENICS LTD,VBLT,M96883109,2721759.88,1.08
10/05/2021,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,2707416.67,1.07
10/05/2021,IZRL,AUGWIND ENERGY TECH STORAGE,AUGN,B290CJ7,2565352.91,1.01
10/05/2021,IZRL,JFROG LTD,FROG,M6191J100,2524183.20,1.00
10/05/2021,IZRL,AQUARIUS ENGINES AM LTD,AQUA,BN7JJ92,2505669.32,0.99
10/05/2021,IZRL,CHECK CAP LTD,CHEK,M2361E203,2511304.62,0.99
10/05/2021,IZRL,PHINERGY LTD,PNRG,BMZ52P2,2448578.47,0.97
10/05/2021,IZRL,MEDIWOUND LTD,MDWD,M68830104,2419197.11,0.96
10/05/2021,IZRL,ICECURE MEDICAL LTD,ICCM,B67PC92,2393429.53,0.95
10/05/2021,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2367121.62,0.94
10/05/2021,IZRL,GAMIDA CELL LTD,GMDA,M47364100,2331254.90,0.92
10/05/2021,IZRL,WIX.COM LTD,WIX,M98068105,2204984.68,0.87
10/05/2021,IZRL,COMPUGEN LTD,CGEN,M25722105,2136212.65,0.84
10/05/2021,IZRL,INNOVIZ TECHNOLOGIES LTD,INVZ UR,M5R635108,1962467.76,0.78
10/05/2021,IZRL,INTERCURE LTD,INCR,B23SD94,1911680.89,0.76
10/05/2021,IZRL,CHEMOMAB THERAPEUTICS LTD,CMMB,16385C104,1816748.50,0.72
10/05/2021,IZRL,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1109092.52,0.44
10/05/2021,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,757468103,92573.60,0.04
