date,fund,company,ticker,cusip,"market value ($)","weight (%)"
10/05/2021,ARKW,"TESLA INC",TSLA,88160R101,"$494,784,298.41",10.09%
10/05/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,"$314,632,317.09",6.42%
10/05/2021,ARKW,"TWITTER INC",TWTR,90184L102,"$269,978,894.02",5.51%
10/05/2021,ARKW,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"$260,438,603.19",5.31%
10/05/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,"$234,620,604.00",4.79%
10/05/2021,ARKW,"ROKU INC",ROKU,77543R102,"$217,103,811.24",4.43%
10/05/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,"$202,952,312.10",4.14%
10/05/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,"$193,121,992.80",3.94%
10/05/2021,ARKW,"SQUARE INC - A",SQ,852234103,"$185,841,976.25",3.79%
10/05/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"$185,142,320.04",3.78%
10/05/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"$183,915,235.53",3.75%
10/05/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,"$175,765,292.28",3.59%
10/05/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,"$171,661,473.88",3.50%
10/05/2021,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,"$141,281,059.95",2.88%
10/05/2021,ARKW,"UIPATH INC - CLASS A",PATH,90364P105,"$127,014,327.70",2.59%
10/05/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"$122,697,522.78",2.50%
10/05/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,"$114,731,680.26",2.34%
10/05/2021,ARKW,"ROBLOX CORP -CLASS A",RBLX,771049103,"$100,423,851.00",2.05%
10/05/2021,ARKW,"SPLUNK INC",SPLK,848637104,"$78,755,155.92",1.61%
10/05/2021,ARKW,"ETSY INC",ETSY,29786A106,"$71,447,788.80",1.46%
10/05/2021,ARKW,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"$70,492,183.66",1.44%
10/05/2021,ARKW,"WALT DISNEY CO/THE",DIS,254687106,"$68,036,562.72",1.39%
10/05/2021,ARKW,"PAGERDUTY INC",PD,69553P100,"$66,327,886.94",1.35%
10/05/2021,ARKW,"SEA LTD-ADR",SE,81141R100,"$63,094,248.80",1.29%
10/05/2021,ARKW,"LIVEPERSON INC",LPSN,538146101,"$56,073,115.72",1.14%
10/05/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,"$54,205,200.00",1.11%
10/05/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,"$53,778,110.78",1.10%
10/05/2021,ARKW,"GENIUS SPORTS LTD",GENI,G3934V109,"$52,705,555.70",1.08%
10/05/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,"$51,627,319.74",1.05%
10/05/2021,ARKW,"FARFETCH LTD-CLASS A",FTCH,30744W107,"$51,655,442.85",1.05%
10/05/2021,ARKW,"OKTA INC",OKTA,679295105,"$50,499,695.68",1.03%
10/05/2021,ARKW,"VUZIX CORP",VUZI,92921W300,"$49,968,601.93",1.02%
10/05/2021,ARKW,"VERACYTE INC",VCYT,92337F107,"$49,455,316.80",1.01%
