date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/05/2021,IZRL,"MONDAY.COM LTD",MNDY,M7S64H106,"16,792","$5,526,079.28",2.18%
10/05/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,"68,773","$4,878,153.09",1.93%
10/05/2021,IZRL,"NAYAX LTD",NYAX,BMXT7N9,"1,212,606","$4,795,138.87",1.90%
10/05/2021,IZRL,"INMODE LTD",INMD,M5425M103,"68,515","$4,700,814.15",1.86%
10/05/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,"453,903","$4,416,476.19",1.75%
10/05/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,"30,417","$4,321,039.02",1.71%
10/05/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,"3,454,955","$4,229,419.99",1.67%
10/05/2021,IZRL,"PLAYTIKA HOLDING CORP",PLTK,72815L107,"154,183","$4,169,108.32",1.65%
10/05/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,"184,460","$4,116,274.17",1.63%
10/05/2021,IZRL,"PRIORTECH LTD",PRTC,6677776,"136,471","$4,133,176.13",1.63%
10/05/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,"139,022","$4,091,417.46",1.62%
10/05/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,"242,089","$4,064,674.31",1.61%
10/05/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,"25,983","$4,073,614.74",1.61%
10/05/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,"278,701","$4,010,770.38",1.59%
10/05/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,"209,306","$4,007,275.92",1.58%
10/05/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,"102,709","$3,986,136.29",1.58%
10/05/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,"27,522","$3,947,871.60",1.56%
10/05/2021,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,"400,561","$3,853,396.82",1.52%
10/05/2021,IZRL,"RADWARE LTD",RDWR,M81873107,"114,843","$3,854,131.08",1.52%
10/05/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,"132,442","$3,852,737.78",1.52%
10/05/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,"236,106","$3,808,598.30",1.51%
10/05/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,"36,935","$3,826,095.99",1.51%
10/05/2021,IZRL,"NICE LTD - SPON ADR",NICE,653656108,"13,800","$3,788,100.00",1.50%
10/05/2021,IZRL,"HILAN LTD",HLAN,6267230,"68,058","$3,755,142.50",1.48%
10/05/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,"833,961","$3,737,531.66",1.48%
10/05/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,"14,565","$3,718,007.55",1.47%
10/05/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,"195,135","$3,707,565.00",1.47%
10/05/2021,IZRL,"NOVA LTD",NVMI,M7516K103,"37,402","$3,672,876.40",1.45%
10/05/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,"138,788","$3,631,710.80",1.44%
10/05/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,"143,334","$3,640,683.60",1.44%
10/05/2021,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,"3,038,164","$3,596,703.73",1.42%
10/05/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,"110,105","$3,572,907.25",1.41%
10/05/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,"112,462","$3,512,421.00",1.39%
10/05/2021,IZRL,"POLYPID LTD",PYPD,M8001Q118,"467,406","$3,491,522.82",1.38%
10/05/2021,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,"1,020,061","$3,437,605.57",1.36%
10/05/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,"17,195","$3,416,867.95",1.35%
10/05/2021,IZRL,"E & M COMPUTING",EMCO,6302216,"599,433","$3,418,957.24",1.35%
10/05/2021,IZRL,"KAMADA LTD",KMDA,B0L2CR5,"642,030","$3,389,113.93",1.34%
10/05/2021,IZRL,"TUFIN SOFTWARE TECHNOLOGIES",TUFN,M8893U102,"341,347","$3,259,863.85",1.29%
10/05/2021,IZRL,"SILICOM LTD",SILC,M84116108,"85,949","$3,240,277.30",1.28%
10/05/2021,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,"28,459","$3,233,796.17",1.28%
10/05/2021,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,"50,732","$3,239,745.52",1.28%
10/05/2021,IZRL,"PURPLE BIOTECH LTD-ADR",PPBT,74638P109,"729,758","$3,181,744.88",1.26%
10/05/2021,IZRL,"ENTERA BIO LTD",ENTX,M40527109,"677,196","$3,196,365.12",1.26%
10/05/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,"381,008","$3,200,467.20",1.26%
10/05/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,"293,109","$3,186,094.83",1.26%
10/05/2021,IZRL,"WALKME LTD",WKME,M97628107,"117,331","$3,159,723.83",1.25%
10/05/2021,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,"937,596","$3,091,151.58",1.22%
10/05/2021,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,"67,308","$3,066,618.66",1.21%
10/05/2021,IZRL,"COLLPLANT BIOTECHNOLOGIES LT","CLGN UQ",M2R51X116,"189,664","$3,015,657.60",1.19%
10/05/2021,IZRL,"ABRA INFORMATION TECHNOLOGIE",ABRA,B2NB586,"2,509,021","$3,016,194.59",1.19%
10/05/2021,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,"16,747","$2,966,898.52",1.17%
10/05/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,"193,109","$2,919,808.08",1.15%
10/05/2021,IZRL,"COGNYTE SOFTWARE LTD",CGNT,M25133105,"142,868","$2,898,791.72",1.15%
10/05/2021,IZRL,"SIMILARWEB LTD",SMWB,M84137104,"154,389","$2,907,144.87",1.15%
10/05/2021,IZRL,"BIOLINERX LTD-SPONS ADR","BLRX ",09071M205,"1,064,778","$2,874,900.60",1.14%
10/05/2021,IZRL,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"536,975","$2,888,925.50",1.14%
10/05/2021,IZRL,"EVOGENE LTD",EVGN,B289530,"1,093,246","$2,812,245.43",1.11%
10/05/2021,IZRL,"STRATASYS LTD",SSYS,M85548101,"128,109","$2,781,246.39",1.10%
10/05/2021,IZRL,"VASCULAR BIOGENICS LTD",VBLT,M96883109,"1,381,604","$2,721,759.88",1.08%
10/05/2021,IZRL,"NANO-X IMAGING LTD",NNOX,M70700105,"122,563","$2,707,416.67",1.07%
10/05/2021,IZRL,"AUGWIND ENERGY TECH STORAGE",AUGN,B290CJ7,"181,628","$2,565,352.91",1.01%
10/05/2021,IZRL,"JFROG LTD",FROG,M6191J100,"80,388","$2,524,183.20",1.00%
10/05/2021,IZRL,"AQUARIUS ENGINES AM LTD",AQUA,BN7JJ92,"257,536","$2,505,669.32",0.99%
10/05/2021,IZRL,"CHECK CAP LTD",CHEK,M2361E203,"3,024,575","$2,511,304.62",0.99%
10/05/2021,IZRL,"PHINERGY LTD",PNRG,BMZ52P2,"915,661","$2,448,578.47",0.97%
10/05/2021,IZRL,"MEDIWOUND LTD",MDWD,M68830104,"758,369","$2,419,197.11",0.96%
10/05/2021,IZRL,"ICECURE MEDICAL LTD",ICCM,B67PC92,"310,544","$2,393,429.53",0.95%
10/05/2021,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,"917,489","$2,367,121.62",0.94%
10/05/2021,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,"618,370","$2,331,254.90",0.92%
10/05/2021,IZRL,"WIX.COM LTD",WIX,M98068105,"12,269","$2,204,984.68",0.87%
10/05/2021,IZRL,"COMPUGEN LTD",CGEN,M25722105,"353,093","$2,136,212.65",0.84%
10/05/2021,IZRL,"INNOVIZ TECHNOLOGIES LTD","INVZ UR",M5R635108,"349,816","$1,962,467.76",0.78%
10/05/2021,IZRL,"INTERCURE LTD",INCR,B23SD94,"285,226","$1,911,680.89",0.76%
10/05/2021,IZRL,"CHEMOMAB THERAPEUTICS LTD",CMMB,16385C104,"178,990","$1,816,748.50",0.72%
10/05/2021,IZRL,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"1,109,093","$1,109,092.52",0.44%
10/05/2021,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,"18,970","$92,573.60",0.04%
