date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/06/2021,PRNT,"EXONE CO/THE",XONE,302104104,"1,079,022","$24,461,428.74",5.35%
10/06/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,"831,319","$21,838,750.13",4.77%
10/06/2021,PRNT,"BICO GROUP AB",BICO,BKMFJ94,"329,417","$19,780,279.07",4.32%
10/06/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,"899,359","$19,296,191.94",4.22%
10/06/2021,PRNT,"CONFORMIS INC",CFMS,20717E101,"14,551,646","$19,208,172.72",4.20%
10/06/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,"10,581","$19,144,400.22",4.18%
10/06/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,"265,682","$18,908,587.94",4.13%
10/06/2021,PRNT,"HP INC",HPQ,40434L105,"649,216","$18,372,812.80",4.02%
10/06/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,"62,998","$18,191,302.48",3.98%
10/06/2021,PRNT,"TRIMBLE INC",TRMB,896239100,"219,162","$18,039,224.22",3.94%
10/06/2021,PRNT,"DASSAULT SYSTEMES SE","DSY FP",BM8H5Y5,"347,984","$17,918,804.99",3.92%
10/06/2021,PRNT,"ANSYS INC",ANSS,03662Q105,"51,281","$17,505,282.16",3.83%
10/06/2021,PRNT,"AUTODESK INC",ADSK,052769106,"60,801","$16,779,859.98",3.67%
10/06/2021,PRNT,"RENISHAW PLC",RSW,0732358,"268,144","$16,447,996.95",3.59%
10/06/2021,PRNT,"PTC INC",PTC,69370C100,"126,717","$15,189,566.79",3.32%
10/06/2021,PRNT,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"2,743,459","$15,116,459.09",3.30%
10/06/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,"787,771","$15,062,181.52",3.29%
10/06/2021,PRNT,"PROTO LABS INC",PRLB,743713109,"215,537","$13,958,176.12",3.05%
10/06/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,"616,991","$13,913,147.05",3.04%
10/06/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,"1,953,706","$13,558,719.64",2.96%
