date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/07/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,"3,946,802","$498,520,560.62",7.35%
10/07/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,"3,886,799","$356,885,884.18",5.26%
10/07/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"13,973,055","$333,536,822.85",4.92%
10/07/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,"8,391,130","$279,760,274.20",4.12%
10/07/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,"1,517,750","$274,576,152.50",4.05%
10/07/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,"4,723,059","$269,781,130.08",3.98%
10/07/2021,ARKG,"CAREDX INC",CDNA,14167L103,"3,360,659","$213,233,813.55",3.14%
10/07/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,"2,173,811","$209,881,452.05",3.09%
10/07/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,"5,156,503","$206,775,770.30",3.05%
10/07/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,"725,493","$204,770,399.25",3.02%
10/07/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"1,476,441","$191,479,633.29",2.82%
10/07/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,"13,081,271","$187,192,988.01",2.76%
10/07/2021,ARKG,"INCYTE CORP",INCY,45337C102,"2,832,008","$186,402,766.56",2.75%
10/07/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"1,823,816","$186,010,993.84",2.74%
10/07/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,"2,154,138","$180,710,636.82",2.66%
10/07/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,"329,517","$180,104,106.69",2.65%
10/07/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,"5,104,909","$164,224,922.53",2.42%
10/07/2021,ARKG,"INVITAE CORP",NVTA,46185L103,"5,947,465","$155,228,836.50",2.29%
10/07/2021,ARKG,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,"8,875,928","$155,328,740.00",2.29%
