date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/07/2021,ARKK,"TESLA INC",TSLA,88160R101,"2,473,553","$1,936,173,610.75",9.72%
10/07/2021,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,"9,139,369","$1,154,393,698.39",5.80%
10/07/2021,ARKK,"ROKU INC",ROKU,77543R102,"3,567,672","$1,147,684,405.68",5.76%
10/07/2021,ARKK,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"4,459,776","$1,116,638,714.88",5.61%
10/07/2021,ARKK,"UNITY SOFTWARE INC",U,91332U101,"7,884,115","$1,027,930,913.70",5.16%
10/07/2021,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"3,471,206","$880,471,401.90",4.42%
10/07/2021,ARKK,"SQUARE INC - A",SQ,852234103,"3,351,179","$801,333,922.48",4.02%
10/07/2021,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"3,351,815","$777,688,116.30",3.90%
10/07/2021,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,"555,533","$749,902,886.04",3.76%
10/07/2021,ARKK,"TWILIO INC - A",TWLO,90138F102,"2,061,689","$653,308,010.32",3.28%
10/07/2021,ARKK,"UIPATH INC - CLASS A",PATH,90364P105,"12,691,275","$651,316,233.00",3.27%
10/07/2021,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,"6,804,723","$624,809,665.86",3.14%
10/07/2021,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,"6,953,687","$614,288,709.58",3.08%
10/07/2021,ARKK,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"24,308,710","$573,199,381.80",2.88%
10/07/2021,ARKK,"DRAFTKINGS INC - CL A",DKNG,26142R104,"11,115,413","$544,544,082.87",2.73%
10/07/2021,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"4,117,382","$533,983,271.58",2.68%
10/07/2021,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"5,000,756","$510,027,104.44",2.56%
10/07/2021,ARKK,"TWITTER INC",TWTR,90184L102,"8,113,479","$497,275,127.91",2.50%
10/07/2021,ARKK,"BEAM THERAPEUTICS INC",BEAM,07373V105,"5,310,931","$445,534,001.59",2.24%
