date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/11/2021,PRNT,"EXONE CO/THE",XONE,302104104,"1,079,022","$24,526,170.06",5.34%
10/11/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,"831,319","$22,113,085.40",4.82%
10/11/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,"10,581","$19,055,045.04",4.15%
10/11/2021,PRNT,"CONFORMIS INC",CFMS,20717E101,"14,551,646","$18,917,139.80",4.12%
10/11/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,"265,682","$18,781,060.58",4.09%
10/11/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,"62,998","$18,574,960.30",4.05%
10/11/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,"899,359","$18,524,387.23",4.04%
10/11/2021,PRNT,"HP INC",HPQ,40434L105,"649,216","$18,106,634.24",3.95%
10/11/2021,PRNT,"TRIMBLE INC",TRMB,896239100,"219,162","$17,955,942.66",3.91%
10/11/2021,PRNT,"ANSYS INC",ANSS,03662Q105,"51,281","$17,726,303.27",3.86%
10/11/2021,PRNT,"BICO GROUP AB",BICO,BKMFJ94,"329,417","$17,715,049.54",3.86%
10/11/2021,PRNT,"DASSAULT SYSTEMES SE","DSY FP",BM8H5Y5,"347,984","$17,693,350.95",3.86%
10/11/2021,PRNT,"AUTODESK INC",ADSK,052769106,"60,801","$16,959,830.94",3.70%
10/11/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,"616,991","$16,257,712.85",3.54%
10/11/2021,PRNT,"RENISHAW PLC",RSW,0732358,"268,144","$15,989,082.58",3.48%
10/11/2021,PRNT,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"2,743,459","$15,473,108.76",3.37%
10/11/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,"787,771","$15,306,390.53",3.34%
10/11/2021,PRNT,"PTC INC",PTC,69370C100,"126,717","$15,211,108.68",3.31%
10/11/2021,PRNT,"PROTO LABS INC",PRLB,743713109,"215,537","$14,464,688.07",3.15%
10/11/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,"1,953,706","$13,793,164.36",3.01%
10/11/2021,PRNT,"XOMETRY INC-A",XMTR,98423F109,"240,947","$13,630,371.79",2.97%
10/11/2021,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,"9,499","$6,113,176.44",1.33%
10/11/2021,PRNT,"GENERAL ELECTRIC CO",GE,369604301,"55,649","$5,827,563.28",1.27%
10/11/2021,PRNT,"HEXAGON AB-B SHS","HEXAB S",BNZFHC1,"390,275","$5,773,880.12",1.26%
10/11/2021,PRNT,"LINCOLN ELECTRIC HOLDINGS",LECO,533900106,"41,964","$5,695,773.72",1.24%
10/11/2021,PRNT,"SIEMENS AG-REG",SIE,5727973,"35,776","$5,698,890.48",1.24%
10/11/2021,PRNT,"AMETEK INC",AME,031100100,"44,705","$5,641,323.95",1.23%
10/11/2021,PRNT,"MOOG INC-CLASS A",MOG/A,615394202,"70,472","$5,569,402.16",1.21%
