date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/13/2021,ARKQ,"TESLA INC",TSLA,88160R101,"342,792","$276,194,370.24",11.07%
10/13/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,"7,937,409","$177,321,717.06",7.11%
10/13/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,"2,115,749","$170,698,629.32",6.84%
10/13/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,"1,163,728","$162,037,486.72",6.50%
10/13/2021,ARKQ,"UIPATH INC - CLASS A",PATH,90364P105,"3,253,903","$156,480,195.27",6.27%
10/13/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,"2,895,346","$109,878,380.70",4.41%
10/13/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,"1,245,851","$97,687,176.91",3.92%
10/13/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,"264,370","$94,676,184.40",3.80%
10/13/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,"3,838,819","$90,903,233.92",3.64%
10/13/2021,ARKQ,"3D SYSTEMS CORP",DDD,88554D205,"3,141,026","$83,614,112.12",3.35%
10/13/2021,ARKQ,"DEERE & CO",DE,244199105,"230,109","$76,074,035.40",3.05%
10/13/2021,ARKQ,"TUSIMPLE HOLDINGS INC - A",TSP,90089L108,"1,815,159","$68,830,829.28",2.76%
10/13/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,"2,651,401","$66,019,884.90",2.65%
10/13/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,"23,165","$63,339,132.90",2.54%
10/13/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,"702,558","$61,944,538.86",2.48%
10/13/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,"697,159","$58,658,958.26",2.35%
10/13/2021,ARKQ,"MARKFORGED HOLDING CORP",MKFG,57064N102,"8,898,717","$56,951,788.80",2.28%
10/13/2021,ARKQ,"TERADYNE INC",TER,880770102,"474,730","$50,962,265.50",2.04%
10/13/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"8,781,459","$49,351,799.58",1.98%
10/13/2021,ARKQ,"BLADE AIR MOBILITY INC",BLDE,092667104,"4,820,444","$48,975,711.04",1.96%
10/13/2021,ARKQ,"ARCHER AVIATION INC-A",ACHR,03945R102,"5,478,643","$43,829,144.00",1.76%
10/13/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,"215,137","$40,858,819.04",1.64%
10/13/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,"231,969","$36,992,096.43",1.48%
