date,fund,company,ticker,cusip,market value($),weight(%)
10/19/2021,PRNT,HP INC,HPQ,40434L105,18423490.80,3.92
10/19/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,18230031.96,3.88
10/19/2021,PRNT,PROTO LABS INC,PRLB,743713109,18189981.18,3.87
10/19/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,18041941.55,3.84
10/19/2021,PRNT,BICO GROUP AB,BICO,BKMFJ94,17856823.42,3.80
10/19/2021,PRNT,RENISHAW PLC,RSW,0732358,17837394.96,3.79
10/19/2021,PRNT,TRIMBLE INC,TRMB,896239100,17768971.20,3.78
10/19/2021,PRNT,PTC INC,PTC,69370C100,17716079.04,3.77
10/19/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,17687220.60,3.76
10/19/2021,PRNT,MICROSOFT CORP,MSFT,594918104,17695294.65,3.76
10/19/2021,PRNT,AUTODESK INC,ADSK,052769106,17657073.77,3.75
10/19/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,17641754.40,3.75
10/19/2021,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,17626994.00,3.75
10/19/2021,PRNT,STRATASYS LTD,SSYS,M85548101,17605404.20,3.74
10/19/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,17566693.05,3.73
10/19/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,17564843.25,3.73
10/19/2021,PRNT,ANSYS INC,ANSS,03662Q105,17514140.16,3.72
10/19/2021,PRNT,EXONE CO/THE,XONE,302104104,17387018.00,3.70
10/19/2021,PRNT,XOMETRY INC-A,XMTR,98423F109,17398615.32,3.70
10/19/2021,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,17271315.40,3.67
10/19/2021,PRNT,CONFORMIS INC,CFMS,20717E101,16591830.84,3.53
10/19/2021,PRNT,AMETEK INC,AME,031100100,5842856.88,1.24
10/19/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,5792400.29,1.23
10/19/2021,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,5793155.98,1.23
10/19/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,5729562.90,1.22
10/19/2021,PRNT,KAISER ALUMINUM CORP,KALU,483007704,5643141.33,1.20
10/19/2021,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,5574444.72,1.19
10/19/2021,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,5614933.80,1.19
10/19/2021,PRNT,GENERAL ELECTRIC CO,GE,369604301,5561882.16,1.18
10/19/2021,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,5549519.44,1.18
10/19/2021,PRNT,MICHELIN (CGDE),ML,4588364,5538824.50,1.18
10/19/2021,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,5512742.50,1.17
10/19/2021,PRNT,ARCONIC CORP,ARNC,03966V107,5522887.37,1.17
10/19/2021,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,5451746.18,1.16
10/19/2021,PRNT,SIEMENS AG-REG,SIE,5727973,5446461.00,1.16
10/19/2021,PRNT,MOOG INC-CLASS A,MOG/A,615394202,5410019.42,1.15
10/19/2021,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,2453967.74,0.52
10/19/2021,PRNT,SWISS FRANC,,CHF,2339649.57,0.50
10/19/2021,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,523327.14,0.11
10/19/2021,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,500813.79,0.11
10/19/2021,PRNT,5N PLUS INC,VNP,B2B3VZ3,511252.81,0.11
10/19/2021,PRNT,SANDVIK AB,SAND,B1VQ252,512899.58,0.11
10/19/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,519675.41,0.11
10/19/2021,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,519865.66,0.11
10/19/2021,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,504901.77,0.11
10/19/2021,PRNT,3M CO,MMM,88579Y101,516084.80,0.11
10/19/2021,PRNT,TORAY INDUSTRIES INC,3402,6897143,509168.92,0.11
10/19/2021,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,508525.10,0.11
10/19/2021,PRNT,VOESTALPINE AG,VOE,4943402,513594.57,0.11
10/19/2021,PRNT,SGL CARBON SE,SGL,4818351,513420.63,0.11
10/19/2021,PRNT,HEXCEL CORP,HXL,428291108,502683.54,0.11
10/19/2021,PRNT,EASTMAN KODAK CO,KODK,277461406,506720.50,0.11
10/19/2021,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,496815.12,0.11
10/19/2021,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,513152.70,0.11
10/19/2021,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,507274.74,0.11
10/19/2021,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,499782.84,0.11
