date,fund,company,ticker,cusip,market value($),weight(%)
10/21/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,587391693.12,8.11
10/21/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,377038599.21,5.21
10/21/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,357101313.86,4.93
10/21/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,285218836.77,3.94
10/21/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,270756414.18,3.74
10/21/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,259616396.20,3.58
10/21/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,259417562.76,3.58
10/21/2021,ARKG,CAREDX INC,CDNA,14167L103,252814838.16,3.49
10/21/2021,ARKG,ACCOLADE INC,ACCD,00437E102,221923042.74,3.06
10/21/2021,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,217161891.81,3.00
10/21/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,216915293.52,3.00
10/21/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,213981622.36,2.95
10/21/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,212833999.95,2.94
10/21/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,195968960.00,2.71
10/21/2021,ARKG,INCYTE CORP,INCY,45337C102,188476423.20,2.60
10/21/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,183755931.66,2.54
10/21/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,175589548.29,2.42
10/21/2021,ARKG,INVITAE CORP,NVTA,46185L103,172314907.54,2.38
10/21/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,166321320.12,2.30
10/21/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,156923341.12,2.17
10/21/2021,ARKG,UIPATH INC - CLASS A,PATH,90364P105,151620124.70,2.09
10/21/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,148979449.60,2.06
10/21/2021,ARKG,CODEXIS INC,CDXS,192005106,142617190.10,1.97
10/21/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,133537668.84,1.84
10/21/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,121243835.16,1.67
10/21/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,115715002.52,1.60
10/21/2021,ARKG,PERSONALIS INC,PSNL,71535D106,103186552.00,1.42
10/21/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,101832400.32,1.41
10/21/2021,ARKG,QUANTUM-SI INC,QSI,74765K105,102199603.36,1.41
10/21/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,99180185.60,1.37
10/21/2021,ARKG,VERACYTE INC,VCYT,92337F107,96862835.30,1.34
10/21/2021,ARKG,PFIZER INC,PFE,717081103,94816081.20,1.31
10/21/2021,ARKG,908 DEVICES INC,MASS,65443P102,93845794.80,1.30
10/21/2021,ARKG,SOMALOGIC INC,SLGC,83444K105,80245196.22,1.11
10/21/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,78888172.00,1.09
10/21/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,74513697.22,1.03
10/21/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,67420330.25,0.93
10/21/2021,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,56739811.11,0.78
10/21/2021,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,47822436.90,0.66
10/21/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,44737970.68,0.62
10/21/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,41622724.82,0.57
10/21/2021,ARKG,ZYMERGEN INC,ZY,98985X100,40990844.30,0.57
10/21/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,39079802.36,0.54
10/21/2021,ARKG,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,39434204.74,0.54
10/21/2021,ARKG,CERUS CORP,CERS,157085101,33449435.43,0.46
10/21/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,28654799.84,0.40
10/21/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,25277970.06,0.35
10/21/2021,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,268010105,23963120.60,0.33
10/21/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,22500258.30,0.31
10/21/2021,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,9737736.15,0.13
10/21/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,8115423.96,0.11
10/21/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,1550784.30,0.02
10/21/2021,ARKG,CM LIFE SCIENCES II -CW27,SLGCW,83444K113,0.00,0.00
