date,fund,company,ticker,cusip,market value($),weight(%)
10/28/2021,ARKW,TESLA INC,TSLA,88160R101,577619945.14,10.69
10/28/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,370248481.10,6.85
10/28/2021,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,343821565.53,6.36
10/28/2021,ARKW,TWITTER INC,TWTR,90184L102,277846140.60,5.14
10/28/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,273922760.01,5.07
10/28/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,235115493.47,4.35
10/28/2021,ARKW,ROKU INC,ROKU,77543R102,233850892.14,4.33
10/28/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,221935356.96,4.11
10/28/2021,ARKW,SQUARE INC - A,SQ,852234103,217066870.08,4.02
10/28/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,194807577.76,3.60
10/28/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,191855814.98,3.55
10/28/2021,ARKW,TWILIO INC - A,TWLO,90138F102,186789133.44,3.46
10/28/2021,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,171053998.53,3.17
10/28/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,130849912.90,2.42
10/28/2021,ARKW,UIPATH INC - CLASS A,PATH,90364P105,124847393.38,2.31
10/28/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,123461636.40,2.28
10/28/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,109942996.20,2.03
10/28/2021,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,102684743.88,1.90
10/28/2021,ARKW,SPLUNK INC,SPLK,848637104,90368017.00,1.67
10/28/2021,ARKW,ETSY INC,ETSY,29786A106,86461443.90,1.60
10/28/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,81854928.90,1.51
10/28/2021,ARKW,SKILLZ INC,SKLZ,83067L109,77499781.22,1.43
10/28/2021,ARKW,LIVEPERSON INC,LPSN,538146101,73559460.24,1.36
10/28/2021,ARKW,PAGERDUTY INC,PD,69553P100,72696712.06,1.35
10/28/2021,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,71531493.52,1.32
10/28/2021,ARKW,WALT DISNEY CO/THE,DIS,254687106,65572106.10,1.21
10/28/2021,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,61345307.54,1.14
10/28/2021,ARKW,SEA LTD-ADR,SE,81141R100,58358204.52,1.08
10/28/2021,ARKW,DOCUSIGN INC,DOCU,256163106,57385397.92,1.06
10/28/2021,ARKW,OKTA INC,OKTA,679295105,55337963.43,1.02
10/28/2021,ARKW,FARFETCH LTD-CLASS A,FTCH,30744W107,53561019.96,0.99
10/28/2021,ARKW,SNAP INC - A,SNAP,83304A106,52276510.62,0.97
10/28/2021,ARKW,VERACYTE INC,VCYT,92337F107,51213020.82,0.95
10/28/2021,ARKW,VUZIX CORP,VUZI,92921W300,50085167.52,0.93
10/28/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,47785923.00,0.88
10/28/2021,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,482505104,47050375.30,0.87
10/28/2021,ARKW,MERCADOLIBRE INC,MELI,58733R102,41725500.00,0.77
10/28/2021,ARKW,2U INC,TWOU,90214J101,40147668.80,0.74
10/28/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,37762431.60,0.70
10/28/2021,ARKW,CONCORD ACQUISITION CORP -A,CND,206071102,30471281.05,0.56
10/28/2021,ARKW,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,11692168.94,0.22
10/28/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,507705.34,0.01
10/28/2021,ARKW,SNOWFLAKE INC-CLASS A,SNOW,833445109,34015.80,0.00
