date,fund,company,ticker,cusip,market value($),weight(%)
10/28/2021,ARKX,TRIMBLE INC,TRMB,896239100,51231304.97,9.49
10/28/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,42806494.84,7.93
10/28/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,32242102.92,5.97
10/28/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,28680750.27,5.31
10/28/2021,ARKX,UNITY SOFTWARE INC,U,91332U101,27197261.20,5.04
10/28/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,27112147.40,5.02
10/28/2021,ARKX,KOMATSU LTD,6301,6496584,26607985.66,4.93
10/28/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,22499286.84,4.17
10/28/2021,ARKX,JD LOGISTICS INC,2618,BNMBPD9,21720298.82,4.02
10/28/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,18622254.75,3.45
10/28/2021,ARKX,UIPATH INC - CLASS A,PATH,90364P105,18262390.83,3.38
10/28/2021,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,17316589.62,3.21
10/28/2021,ARKX,NETFLIX INC,NFLX,64110L106,16547809.04,3.06
10/28/2021,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,16193354.19,3.00
10/28/2021,ARKX,AMAZON.COM INC,AMZN,023135106,15646163.88,2.90
10/28/2021,ARKX,THALES SA,HO,4162791,13124597.50,2.43
10/28/2021,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,11910974.68,2.21
10/28/2021,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,11333822.50,2.10
10/28/2021,ARKX,DEERE & CO,DE,244199105,10911976.26,2.02
10/28/2021,ARKX,TERADYNE INC,TER,880770102,9758097.23,1.81
10/28/2021,ARKX,VELO3D INC,VLD,92259N104,9755804.16,1.81
10/28/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,9790142.65,1.81
10/28/2021,ARKX,JOBY AVIATION INC,JOBY,G65163100,9531676.00,1.77
10/28/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,9232120.60,1.71
10/28/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,9195281.89,1.70
10/28/2021,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,6984698.14,1.29
10/28/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,6099483.00,1.13
10/28/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,6114063.57,1.13
10/28/2021,ARKX,ANSYS INC,ANSS,03662Q105,6019216.68,1.11
10/28/2021,ARKX,HEICO CORP,HEI,422806109,5873914.80,1.09
10/28/2021,ARKX,AIRBUS SE,AIR,4012250,5459229.96,1.01
10/28/2021,ARKX,SYNOPSYS INC,SNPS,871607107,5462867.34,1.01
10/28/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,5032734.84,0.93
10/28/2021,ARKX,BOEING CO/THE,BA,097023105,2446055.79,0.45
10/28/2021,ARKX,3D SYSTEMS CORP,DDD,88554D205,2185071.95,0.40
10/28/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,885861.66,0.16
10/28/2021,ARKX,NVIDIA CORP,NVDA,67066G104,115897.74,0.02
