date,fund,company,ticker,cusip,market value($),weight(%)
04/29/2022,ARKK,TESLA INC,TSLA,88160R101,846842780.52,9.32
04/29/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,706746395.68,7.78
04/29/2022,ARKK,ROKU INC,ROKU,77543R102,633724258.86,6.97
04/29/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,553028364.94,6.09
04/29/2022,ARKK,BLOCK INC,SQ,852234103,543965075.52,5.99
04/29/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,497770443.39,5.48
04/29/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,420206782.59,4.62
04/29/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,388838412.03,4.28
04/29/2022,ARKK,TWILIO INC - A,TWLO,90138F102,379008029.28,4.17
04/29/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,367289962.91,4.04
04/29/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,326903833.42,3.60
04/29/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,302921412.68,3.33
04/29/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,275577204.60,3.03
04/29/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,262378318.56,2.89
04/29/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,247621739.55,2.72
04/29/2022,ARKK,PAGERDUTY INC,PD,69553P100,223876399.65,2.46
04/29/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,212390781.60,2.34
04/29/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,202915018.05,2.23
04/29/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,199188354.85,2.19
04/29/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,175904801.28,1.94
04/29/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,157162908.76,1.73
04/29/2022,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,139439742.00,1.53
04/29/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,125037637.47,1.38
04/29/2022,ARKK,VERACYTE INC,VCYT,92337F107,108648000.56,1.20
04/29/2022,ARKK,STRATASYS LTD,SSYS,M85548101,99433163.08,1.09
04/29/2022,ARKK,SEA LTD-ADR,SE,81141R100,98591138.80,1.08
04/29/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,94445396.20,1.04
04/29/2022,ARKK,INVITAE CORP,NVTA,46185L103,93319599.96,1.03
04/29/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,92312851.04,1.02
04/29/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,84551022.15,0.93
04/29/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,68572334.46,0.75
04/29/2022,ARKK,2U INC,TWOU,90214J101,61846501.50,0.68
04/29/2022,ARKK,CERUS CORP,CERS,157085101,50244992.80,0.55
04/29/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,25421087.08,0.28
04/29/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,15194942.64,0.17
04/29/2022,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,6943184.56,0.08
